U1 in V,I1 in A,U2 in V,I2 in A,SU1 in V,SI1 in A,SU2 in V,SI2 in A
0.083,0.043,0.126,0.137,0.001,0.002,0.002,0.003
0.467,0.244,0.361,0.393,0.003,0.004,0.003,0.006
0.851,0.446,0.603,0.656,0.005,0.006,0.004,0.009
1.142,0.599,0.789,0.857,0.007,0.008,0.005,0.011
1.492,0.780,1.182,1.286,0.008,0.010,0.007,0.016
